sample_id,target_sequence
tw_00504,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n03
tw_00508,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00510,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00513,type_answer parent_n01 type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00514,type_answer parent_root type_elaboration parent_n03 type_answer parent_n04
tw_00517,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00519,type_elaboration parent_root type_elaboration parent_n02 type_agreement parent_n04
tw_00522,type_answer parent_root type_question parent_n02 type_answer parent_n04
tw_00527,type_elaboration parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_00529,type_elaboration parent_root type_elaboration parent_n02 type_question parent_n03
tw_00531,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00536,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_00537,type_agreement parent_root type_agreement parent_n03 type_agreement parent_n04
tw_00540,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n03
tw_00545,type_answer parent_root type_elaboration parent_n03 type_question parent_n04
tw_00548,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00552,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_00553,type_answer parent_n01 type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00555,type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00556,type_elaboration parent_n00 type_question parent_n01 type_answer parent_n03
tw_00558,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_agreement parent_n04
tw_00560,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00567,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_00570,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00572,type_answer parent_n00 type_elaboration parent_n01 type_question parent_n02
tw_00576,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00577,type_question parent_n00 type_answer parent_n03 type_appreciation parent_n04
tw_00579,type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00580,type_elaboration parent_n02 type_elaboration parent_n03 type_elaboration parent_n04
tw_00582,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_00589,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00592,type_elaboration parent_n00 type_elaboration parent_n02 type_elaboration parent_n04
tw_00593,type_elaboration parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00594,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_00601,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00602,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00603,type_answer parent_n00 type_appreciation parent_n02 type_appreciation parent_n03
tw_00604,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00605,type_answer parent_root type_elaboration parent_n03 type_answer parent_n04
tw_00614,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_00615,type_question parent_root type_answer parent_n02 type_appreciation parent_n04
tw_00616,type_answer parent_root type_question parent_n00 type_answer parent_n01
tw_00618,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00630,type_elaboration parent_n01 type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00631,type_answer parent_root type_question parent_n00 type_answer parent_n05 type_appreciation parent_n06
tw_00634,type_question parent_n01 type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00639,type_question parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00640,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00641,type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00645,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n04
tw_00646,type_elaboration parent_n01 type_elaboration parent_n02 type_answer parent_n04
tw_00647,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00648,type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00649,type_answer parent_n00 type_answer parent_n01 type_question parent_n02
tw_00651,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00656,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00657,type_answer parent_root type_elaboration parent_n03 type_answer parent_n04
tw_00658,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00660,type_appreciation parent_root type_appreciation parent_n03 type_appreciation parent_n04
tw_00666,type_answer parent_n02 type_question parent_n03 type_answer parent_n04
tw_00671,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00682,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00691,type_question parent_root type_answer parent_n03 type_appreciation parent_n04
tw_00693,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00696,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n03
tw_00700,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_00702,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n03 type_elaboration parent_n04
tw_00704,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_00706,type_question parent_root type_answer parent_n00 type_question parent_n06
tw_00716,type_answer parent_root type_question parent_n00 type_answer parent_n03 type_agreement parent_n04
tw_00717,type_answer parent_n00 type_question parent_n03 type_answer parent_n04
tw_00721,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_00728,type_answer parent_n00 type_elaboration parent_n03 type_agreement parent_n04
tw_00732,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_00733,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_agreement parent_n04
tw_00735,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_00742,type_answer parent_n00 type_elaboration parent_n02 type_elaboration parent_n03
tw_00744,type_answer parent_root type_elaboration parent_n00 type_elaboration parent_n01
tw_00745,type_answer parent_n00 type_appreciation parent_n03 type_appreciation parent_n04
tw_00748,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00750,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_00751,type_answer parent_n02 type_elaboration parent_n03 type_answer parent_n04
tw_00752,type_answer parent_root type_elaboration parent_n00 type_answer parent_n04
tw_00757,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00765,type_answer parent_n00 type_elaboration parent_n01 type_elaboration parent_n02
tw_00769,type_elaboration parent_n02 type_elaboration parent_n03 type_appreciation parent_n04
tw_00771,type_answer parent_n00 type_elaboration parent_n01 type_answer parent_n02
tw_00773,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00790,type_answer parent_n00 type_question parent_n01 type_elaboration parent_n02
tw_00793,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_00795,type_answer parent_n01 type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00798,type_elaboration parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_00801,type_answer parent_n00 type_elaboration parent_n01 type_elaboration parent_n02
tw_00805,type_answer parent_root type_question parent_n00 type_answer parent_n01
tw_00806,type_answer parent_n00 type_question parent_n02 type_answer parent_n03
tw_00808,type_answer parent_n01 type_elaboration parent_n02 type_elaboration parent_n03
tw_00816,type_elaboration parent_root type_elaboration parent_n01 type_appreciation parent_n05
tw_00817,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n04
tw_00827,type_answer parent_n00 type_elaboration parent_n03 type_appreciation parent_n04
tw_00828,type_answer parent_root type_elaboration parent_n03 type_appreciation parent_n04
tw_00829,type_answer parent_n01 type_elaboration parent_n02 type_elaboration parent_n04
tw_00830,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_agreement parent_n04
tw_00835,type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00839,type_question parent_n01 type_answer parent_n02 type_question parent_n03
tw_00841,type_elaboration parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00843,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00844,type_answer parent_root type_question parent_n01 type_answer parent_n06
tw_00845,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_00847,type_answer parent_n00 type_elaboration parent_n02 type_question parent_n03
tw_00854,type_question parent_n00 type_answer parent_n02 type_question parent_n03
tw_00858,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n04
tw_00868,type_answer parent_n02 type_elaboration parent_n03 type_elaboration parent_n04
tw_00869,type_question parent_n01 type_answer parent_n03 type_agreement parent_n04
tw_00870,type_answer parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00877,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00880,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n04
tw_00881,type_answer parent_n00 type_elaboration parent_n02 type_answer parent_n03
tw_00892,type_answer parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00894,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_00895,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00906,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_00907,type_answer parent_root type_answer parent_n00 type_elaboration parent_n06 type_appreciation parent_n07
tw_00911,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00919,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_00922,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00925,type_answer parent_root type_elaboration parent_n00 type_elaboration parent_n05 type_agreement parent_n06
tw_00932,type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00935,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n03
tw_00937,type_answer parent_n00 type_elaboration parent_n01 type_elaboration parent_n03
tw_00944,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00945,type_answer parent_root type_elaboration parent_n03 type_answer parent_n04
tw_00950,type_answer parent_n00 type_elaboration parent_n02 type_elaboration parent_n03
tw_00951,type_question parent_n00 type_answer parent_n03 type_answer parent_n04
tw_00957,type_elaboration parent_n02 type_elaboration parent_n03 type_elaboration parent_n04 type_appreciation parent_n05
tw_00958,type_question parent_n00 type_answer parent_n01 type_elaboration parent_n02
tw_00959,type_answer parent_root type_answer parent_n03 type_question parent_n04
tw_00966,type_question parent_n00 type_answer parent_n01 type_elaboration parent_n02 type_elaboration parent_n04
tw_00974,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00977,type_question parent_n00 type_answer parent_n03 type_appreciation parent_n04
tw_00984,type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00985,type_answer parent_root type_elaboration parent_n00 type_agreement parent_n06
tw_00993,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00998,type_question parent_n02 type_answer parent_n03 type_agreement parent_n04
tw_00999,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01005,type_question parent_n00 type_answer parent_n01 type_question parent_n04
tw_01009,type_answer parent_n00 type_appreciation parent_n02 type_answer parent_n03
tw_01014,type_answer parent_n00 type_appreciation parent_n01 type_question parent_n02
tw_01018,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_01025,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01027,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_01035,type_answer parent_n00 type_elaboration parent_n03 type_elaboration parent_n04
tw_01038,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01039,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n03
tw_01057,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_01059,type_answer parent_root type_elaboration parent_n03 type_appreciation parent_n04
tw_01065,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01066,type_elaboration parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_01073,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01076,type_question parent_n00 type_answer parent_n01 type_agreement parent_n03
tw_01083,type_answer parent_n02 type_question parent_n03 type_answer parent_n04
tw_01084,type_answer parent_n00 type_elaboration parent_n01 type_question parent_n02
tw_01085,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_01090,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_01091,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_01094,type_appreciation parent_n01 type_appreciation parent_n03 type_appreciation parent_n04
tw_01099,type_question parent_root type_answer parent_n02 type_appreciation parent_n04
tw_01100,type_question parent_n01 type_answer parent_n02 type_appreciation parent_n04
tw_01105,type_answer parent_n00 type_question parent_n01 type_answer parent_n04
tw_01111,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01112,type_question parent_n00 type_answer parent_n01 type_question parent_n02
tw_01113,type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_01116,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01120,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_01122,type_elaboration parent_root type_elaboration parent_n11 type_elaboration parent_n10
tw_01123,type_answer parent_n00 type_elaboration parent_n03 type_appreciation parent_n04
tw_01125,type_question parent_n00 type_answer parent_n01 type_question parent_n02
tw_01133,type_answer parent_root type_appreciation parent_n03 type_appreciation parent_n04
tw_01134,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n04
tw_01135,type_question parent_n01 type_answer parent_n02 type_question parent_n03
tw_01137,type_answer parent_root type_agreement parent_n02 type_agreement parent_n04
tw_01140,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n04
tw_01143,type_answer parent_root type_answer parent_n02 type_question parent_n03
tw_01146,type_question parent_n00 type_answer parent_n02 type_elaboration parent_n03
tw_01147,type_answer parent_n00 type_elaboration parent_n03 type_appreciation parent_n04
tw_01148,type_answer parent_n00 type_appreciation parent_n03 type_appreciation parent_n04
tw_01150,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_01153,type_answer parent_n00 type_elaboration parent_n02 type_appreciation parent_n03
tw_01159,type_answer parent_n03 type_elaboration parent_n02 type_agreement parent_n09
tw_01160,type_question parent_n00 type_answer parent_n01 type_elaboration parent_n02
tw_01161,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_01166,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_01169,type_question parent_root type_answer parent_n03 type_question parent_n04
tw_01173,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_01178,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_01179,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n03
tw_01187,type_question parent_n00 type_answer parent_n02 type_elaboration parent_n03
tw_01188,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01189,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01190,type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01197,type_answer parent_n00 type_elaboration parent_n02 type_answer parent_n03
tw_01202,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_elaboration parent_n03
tw_01206,type_elaboration parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_01212,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_01215,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01216,type_answer parent_n00 type_appreciation parent_n02 type_appreciation parent_n03
tw_01220,type_question parent_n01 type_answer parent_n02 type_elaboration parent_n03 type_appreciation parent_n04
tw_01221,type_elaboration parent_n01 type_elaboration parent_n02 type_agreement parent_n03
tw_01226,type_question parent_n02 type_question parent_n03 type_question parent_n04
tw_01228,type_answer parent_root type_elaboration parent_n02 type_answer parent_n04
tw_01233,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_01237,type_question parent_root type_answer parent_n00 type_appreciation parent_n05
tw_01241,type_answer parent_root type_elaboration parent_n03 type_question parent_n04
tw_01242,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_01243,type_answer parent_root type_elaboration parent_n01 type_elaboration parent_n02
tw_01244,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n03 type_appreciation parent_n04
tw_01251,type_question parent_root type_answer parent_n00 type_appreciation parent_n04
tw_01255,type_answer parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_01267,type_question parent_root type_answer parent_n00 type_appreciation parent_n04
