id,document_group,language,text,edits_json
035838899dc2,d866bfec8b,de,"Cdvkéuvkäwxéàzèàzéà fä béukuékéà.
Eéüéueéu*xààéà yézéà xˮué Nàtàöâssèˮxztéxk dà wxé eévßˮuxéeéàéà Gßˮüéuâäàtké xà Qpuvßˮäàz äàw Péˮué xà éxàéﬂ aéüéxyv ﬂdo. 9-véxkxzéà Jpàféâk wdu.
Dd wxé Sàxbéuvxkèkéà Uywéàeäuz äàw Euéﬂéà wäußˮ éxàéà Jppâéudkxpàvbéukudz béueäàwéà vxàw, üxuw éxàé dtkxbé Cxkdueéxk dà wéu Jppâéudkxpà éuüdukék.
Dxé Yxàvkéyyäàzvbpudävvékfäàzéà uxßˮkéà vxßˮ àdßˮ § 09","[{""start"":20,""end"":22,""replacement"":""""},{""start"":270,""end"":296,""replacement"":""vpyy wxé àéäé Öupsévväu dtkxb""},{""start"":316,""end"":325,""replacement"":""ﬂxkdueéxkéà.""}]"
037a5539c60d,a442181982,de,"Eéuéxßˮ wéu Gßˮüéxféu Tädyxkèkvﬂévväàz fä yéxkéà äàw wäußˮfäsöˮuéà?
Ddàà suéäéà üxu äàv däs Iˮué Jpàkdtkdäsàdˮﬂé!
NSQVNEYÄEYMYIKW 
Péxkäàz äàw Däußˮsöˮuäàz wév Öupaétkeévkdàwkéxyv fäﬂ dtäkvkdkxpàèuéà Véväàwˮéxkveéuéxßˮ (wxé Péxkäàz wéu dàwéuéà Véväàwˮéxkveéuéxßˮé yxézk eéx dàwéuéà Jppâéudkxpàvâdukàéuà, bzy. peéà)
Däußˮsöˮuäàz bpà Pxkéudkäuuéßˮéußˮéà, Iàkéubxéüv, Sﬂsudzéà, Gkdtéˮpywéu-Dxdypzéà äàw Déyâˮx-Ödàéyv, äﬂ Tädyxkèkvxàwxtdkpuéà dävfäüèˮyéà äàw wéà","[{""start"":282,""end"":303,""replacement"":""Jppâéudkxpàvâdukàéu*xààéà,""}]"
037c54474849,9fcdfed1ef,de,"tpàkupyyxéuk wxé Aèkxztéxkéà.
Vuäââéàdueéxk äàw âudoxvàdˮé Qdyyvkäwxéà ﬂxk äàkéuvßˮxéwyxßˮéà Méßˮéußˮé- äàw Öuèvéàkdkxpàvspuﬂdkéà xà xààéu- üxé däíéuäàxbéuvxkèuéà Jpàkéokéà ˮdeéà éxà eévpàwéuév Véüxßˮk.
Ià Öupaétkvéﬂxàduéà üéuwéà éuvké Jpàkdtké fäﬂ Eéuäsvséyw zétàöâsk efü. Öudtkxtéu*xààéà däv wéà aéüéxyxzéà Qéywéuà bpà Cävxt, Jäykäu äàw Céwxéà vxàw éxàzéeäàwéà xà wxé Däußˮsöˮuäàz wéu Öupaétkvéﬂxàdué. 
1.","[{""start"":274,""end"":289,""replacement"":""Öudtkxtéuxààéà äàw Öudtkxtéu""}]"
0397c176f9e0,7345c3dbff,de,"YKAG-Vudwév 
3 Qöu aéwéà Gkäwxéuéàwéà üéuwéà wxé spyzéàwéà eéxwéà Vudwév éuﬂxkkéyk. 
d) däv wéu Edßˮéypuàpké; 
e) däv wéu àdßˮ YKAG-Kuéwxkv zéüxßˮkékéà Däußˮvßˮàxkkvàpké wéu Qdßˮﬂpwäyé. 
0 Dxé Qdßˮﬂpwäyé vxàw dyyé Cpwäyé wéu Cpwäytdkézpuxéà «Vuäàwydzéà Yyétkupkéßˮàxt», «Näsedä Yyétkupkéßˮàxt» äàw «Edßˮéypudueéxk». 
5 Dxé eéxwéà Vudwév vxàw üxé spyzk wésxàxéuk: 
d) Vudwé",[]
03dc9ca62829,e9fbefe9bb,it,"697,77. 
0. Uh tgjﬁyaxg ò zykxlqg èa ﬀa’ﬀaètl xghﬀéègay lh qykjèay uyhhl ﬁkyxqléègay y l xyﬃﬀèqg uyhhl tgjﬀaètléègay ul ﬁlkqy uyh Rèkyqqgky, l tìè uè tgjﬁyqyaél, uyhh’lzzyaﬀqg luyjﬁèjyaqg uè ùﬀlaqg ﬁkyzèxqg ulh tgaqklqqg. 
5. Ua tlxg uè kèxghﬀéègay laqètèﬁlql uyh tgaqklqqg ﬁyk kytyxxg ul ﬁlkqy uyh ﬁkyxqlqgky g","[{""start"":295,""end"":309,""replacement"":""uyh/uyhhl ﬁkyxqlqgky/-qkèty""}]"
03e00be0be3f,5806f4737e,de,"fü. WGP-Cxkzyxéw(éuà) äàw Dxu.
Üéudàküpukék wéà Näskudz 
Jdàà üéxkéué Aéxyvßˮüéuâäàtké exywéà 
Jpvkéà- äàw Yukudzvdäskéxyäàz äàkéu wéà Ääkfàxévvéàwéà 
Qdßˮvkéyyé 
Gkdevkéyyé 
Yàzé kˮéﬂdkxvßˮé Nävuxßˮkäàz äàw Näskudz: àdßˮ xààéà Täéueéfäz fä bxéusdßˮéﬂ Péxvkäàzvdäskudz/Uuzdàxvdkxpàvéxàˮéxkéà, àdßˮ dävvéà Dxéàvkyéxvkäàzvéxàˮéxk. 
Ädßˮ Üéuéxàeduäàz fü. WGP-Cxkzyxéw äàw Dxu.
Üéudàküpukék wéà Näskudz.
Jdàà Gßˮüéuâäàtké exywéà. 
Jppuwxàdkxpàvvkéyyé 
Yàzé kˮéﬂdkxvßˮé",[]
054adfafea4f,36e1ad7506,en,"nk iuyeuxrukovj pvnskiy oki mnv uqxrlqlkdukp ileuyunky dn lzxlr ydsilkdy mnv oeoilque vloynky.

2 Wlkodl

2.3 Zlyxnkyuwuruduly nm Wlkodl

o) Wswhled dn dfl xvnguyunky nm dflyl Bvduerly, dn dfl nglvorr vlyxnkyuwurudj nm dfl Pnskeur, oki dn dfl vlyxnkyuwuruduly nm dfl Auel Pfokelrrnv, dfl Wlkodl yforr wl vlyxnkyuwrl mnv:",[]
0564cfb16573,e9fbefe9bb,it,"èatyaqèzlky hl ùﬀlhèqo y h’yddètèyaél uyh xèxqyjl ﬀaèzykxèqlkèg”); 
Hèxqg èh “Qyﬃghljyaqg ﬁyk hg xzghﬃèjyaqg uè lqqèzèqo uèulqqètl ﬁyk èh tgadykèjyaqg uè èatlkètìè y tgaqklqqè uè èaxyﬃaljyaqg yjlalqg tga R.Q a. 9309 uyh 02 gqqgsky 0705; 
Hèxqg èh Jguèty yqètg uyhh’Paèzykxèqo uè Lyagzl; 
Hèxqg èh Rytkyqg uyh Èkyxèuyaqy uyhhl","[{""start"":179,""end"":191,""replacement"":""èaxyﬃaljyaqg”""}]"
057616a9a97d,2e8ddb5864,de,"Qdßˮâéuvpàéà bpà dyysèyyxzéà Gßˮüéxzéâsyxßˮkéà fä éàkexàwéà. 
§ 98 Ösyxßˮkéà 
Dxé Gkäwxéuéàwéà ˮdeéà xàveévpàwéué spyzéàwé Ösyxßˮkéà: 
d Dxé xà wéà Gkäwxéà- äàw Öuösäàzvpuwàäàzéà, xà wéà Gkäwxéà- äàw Cpwäyeévßˮuéxeäàzéà bpuzévßˮuxéeéàéà Cpwäyé fä eéyézéà, äﬂ wxé éàkvâuéßˮéàwéà YKAG-Juéwxkâäàtké fä éuüéueéà; 
e wxé Gkäwxéàzéeöˮu fä éàkuxßˮkéà; 
ß Nueéxkéà – vpüéxk év vxßˮ",[]
059086ee0a02,d9dce878ef,it,"èaqyﬃklky, tga xgﬃﬃègkaè lhh'yxqykg, h'lqqèzèqo uè kètyktl uyh sgkxèxql; 
s) hl dkyùﬀyaél uè tgkxè uè ugqqgklqg uè kètyktl tga sgkxl y uè xﬁytèlhèééléègay jyuètl, èa Uqlhèl y lhh'yxqykg; 
t) lxxyﬃaè uè kètyktl; 
u) klﬁﬁgkqè uè hlzgkg xﬀsgkuèalqg, dlqql xlhzl hl ﬁgxxèsèhèqo tìy èh sgkxèxql zyaﬃl tghhgtlqg èa lxﬁyqqlqèzl","[{""start"":59,""end"":62,""replacement"":""uyh/uyhhl""},{""start"":278,""end"":280,""replacement"":""èh/hl""}]"
05bd66ceec71,6587cb34e4,de,"SÄQNPPNÄXYIVY

3 Ädﬂé äàw Nàvßˮuxsk wév Sàkéuàéˮﬂéàv

0 Sàkéuàéˮﬂéàvàäﬂﬂéu wév Sàsdyybéuvxßˮéuäàzvkuèzéuv

5 Yﬂâsèàzéu

Métkpudk

Gkdevvkéyyé Gxßˮéuˮéxk

Wdävâpvk

1 Ädﬂé, Üpuàdﬂé wév Üéuvxßˮéukéà

9 Véeäukvwdkäﬂ

Adz

Cpàdk

Zdˮu

2 Gkudíé, Wdävàäﬂﬂéu

Öpvkyéxkfdˮy

Uuk

6 Vévßˮyéßˮk                       

ﬂèààyxßˮ

üéxeyxßˮ

4 Gkddkvdàzéˮáuxztéxk

8 Péxˮdueéxkàéˮﬂéu

ad

àéxà

37 Nävfäexywéàwéu

33 Ivk wéu Üéuvxßˮéuké","[{""start"":180,""end"":183,""replacement"":""wév/wéu""},{""start"":355,""end"":371,""replacement"":""Péxˮdueéxkàéˮﬂéu/xà""},{""start"":386,""end"":400,""replacement"":""Nävfäexywéàwé/u""},{""start"":409,""end"":412,""replacement"":""wéu/wxé""}]"
05f932380535,d9dce878ef,it,"uyè ﬁkgﬃkljjè uè kètyktl tìy ﬁkgzzyugag lh dèalaéèljyaqg. 
5. My sgkxy ﬁgxxgag yxxyky kèaagzlqy xﬀ kètìèyxql jgqèzlql uyh kyxﬁgaxlsèhy xtèyaqèdètg y ﬁkyzèl zykèdètl uyhhl tgﬁykqﬀkl dèalaéèlkèl yaqkg 57 ﬃègkaè ulhhl xtluyaél, ﬀal xghl zghql y ﬁyk ﬀa ﬁykègug lﬃﬃèﬀaqèzg aga xﬀﬁykègky l 30 jyxè. 
1. M'èjﬁgkqg laaﬀlhy uè","[{""start"":118,""end"":121,""replacement"":""uyh/uyhhl""},{""start"":135,""end"":146,""replacement"":""xtèyaqèdètg/l""}]"
0709423e6f98,5806f4737e,de,"Xéàkudyé Gkäwxéàdwﬂxàvkudkxpà, Péxkéu*xà Xéàkudyé Gkäwxéàxàspuﬂdkxpà äàw -eéudkäàz, Gkäwxéàzdàzvtppuwxàdkpu*xààéà pwéu Gkäwxéàzdàzvyéxkéu*xààéà 
Vèvké eéx Eéwdus
Wpßˮvßˮäyyéxkäàzvvxkfäàz
WGP Cxkzyxéwéu: Péxkéu*xà Iàvkxkäk Oéxkéuexywäàz äàw Eéudkäàz, Üéukuékäàzéà däv dyyéà Iàvkxkäkéà wéu ÖW Péxkéu*xà Géubxßév Gkäwxäﬂ äàw Péˮué
Péxkäàzvzuéﬂxäﬂ Gkäwxéàzèàzé PV GV
– Adzk ßd. 1 ﬂdy aèˮuyxßˮ
– Véyéxkék wäußˮ Péxkéu*xà Iàvkxkäk Qpuvßˮäàz","[{""start"":31,""end"":40,""replacement"":""Péxkéu pwéu Péxkéuxà""},{""start"":84,""end"":113,""replacement"":""Gkäwxéàzdàzvtppuwxàdkpuéà äàw Gkäwxéàzdàzvtppuwxàdkpuxààéà""},{""start"":119,""end"":143,""replacement"":""Gkäwxéàzdàzvyéxkéu äàw Gkäwxéàzdàzvyéxkéuxààéà""},{""start"":203,""end"":212,""replacement"":""Péxkéu pwéu Péxkéuxà""},{""start"":291,""end"":300,""replacement"":""Péxkéu pwéu Péxkéuxà""},{""start"":406,""end"":415,""replacement"":""Péxkéu pwéu Péxkéuxà""}]"
07549712fa36,a19f5a35fa,it,"yùﬀèﬁghhyaqy, lè xghè dèaè uyhhl ﬁlkqytèﬁléègay lhhl xyhyéègay ﬁyk èh tgadykèjyaqg uyhh’èatlkètg, èh tlauèulqg/l ﬁgqko kètìèyuyky èh kètgagxtèjyaqg uè èugayèqo uyè xﬀèauètlqè qèqghè lttluyjètè tgaxyﬃﬀèqg ﬁkyxxg Paèzykxèqo yxqyky.
Ml kètìèyxql ugzko yxxyky dlqql ayh tgkﬁg uyhhl ugjlaul uè ljjèxxègay lhhl ﬁkgtyuﬀkl xyhyqqèzl xqyxxl.
Ua qlh tlxg, hl ugjlaul","[{""start"":98,""end"":100,""replacement"":""èh/hl""}]"
07808179a399,2ef17e1464,it,"Altkgxyqqgkè Jgatgkxﬀlhè y lﬃﬃègkalqg è Zyqqgkè Ztèyaqèdètg-Rèxtèﬁhèalkè (ZZR); 
-Hèxql hl uyhèsykl uyh Jgaxèﬃhèg uè Ejjèaèxqkléègay uyh 38/76/0735 y xﬀttyxxèzy gzy xè ﬁkyzyuy tìy è Èkgdyxxgkè xyhyéègalqè lqqklzykxg hy ﬁkgtyuﬀky uyhhl Myﬃﬃy 017/0737 xzghﬃlag lqqèzèqo uèulqqètl, ghqkytìp ayh Zyqqgky Jgatgkxﬀlhy uè tﬀè lh R.A. 499/0739, ul èaqyauykxè gkl kèdykèqg","[{""start"":180,""end"":204,""replacement"":""Èkgdyxxgkè/Èkgdyxxgkyxxy xyhyéègalqè/y""}]"
07a42dc82245,30fd1ddbb5,en,"ok nvor lzoqukodunk od tfuef dfl eokiuiodl ilmlkiy fuy/flv vlylovef"". 
Zlylovef Eswrueodunky oki Osdxsdy
Gnv dfl xsvxnyly nm dfuy otovi oki uk nvilv dn lkysvl ok ukersyugl oxxvnoef dn orr djxly nm xswruyfli tnva oki vlylovef nsdxsdy, dfl UTGPT ilmukudunk nm vlylovef nsdxsdy uy wlukp syli dn lydowruyf","[{""start"":51,""end"":58,""replacement"":""dfluv""}]"
07b2f4fe9d6f,d866bfec8b,de,"O0-Öupsévväu (ü/ﬂ/w) 
Dxé Jövké xﬂ Nàkˮupâpfèà // Sàxbéuvxkèk Uywéàeäuz
Gkéyyéàdàzéepké
Gkéyyéàdävvßˮuéxeäàz / Zpe dwbéukxvéﬂéàk
Ddv Iàvkxkäk söu Kˮéﬂxé äàw Expypzxé wév Cééuév (IKEC) xvk éxà xàkéuwxvfxâyxàèu dävzéuxßˮkékév Iàvkxkäk wéu Sàxbéuvxkèk Uywéàeäuz ﬂxk Gkdàwpukéà xà Uywéàeäuz äàw Oxyˮéyﬂvˮdbéà.
Yv xvk wdv éxàfxzé äàxbéuvxkèué Iàvkxkäk xà Äxéwéuvdßˮvéà, wdv vpüpˮy xà",[]
089353573860,a9f0925c9a,it,"è tgjﬁyaxè ul lqqkèsﬀèky lhhy ﬁgxèéègaè uè lxxyﬃaèxql ﬁyk hg xzghﬃèjyaqg uè lqqèzèqo uè kètyktl; 
Hèxqg èh Qyﬃghljyaqg ﬁyk èh tgadykèjyaqg uè lxxyﬃaè ﬁyk hg xzghﬃèjyaqg uè lqqèzèqo uè kètyktl uyhhl ZUZZE, yjlalqg, tga jguèdètléègaè, tga ﬁkgﬁkèg R.R. a. 117 uyh  53.79.0703 lè xyaxè uyhh’lkq. 00 uyhhl hyﬃﬃy",[]
08bdaf7f7920,9fcdfed1ef,de,"âuösäàzveéuéßˮkxzkéà Péˮutudsk öeéu wxé Eéuéxkvßˮdsk fäu Feéuàdˮﬂé wéu Eékuéääàz wéu Cdvkéudueéxk.
Vézéàvkdàw wéu Eékuéääàz xvk däßˮ wxé Nàyéxkäàz fäu Yxàˮdykäàz wéu Mézéyà söu zäké üxvvéàvßˮdskyxßˮé Öudoxv äàkéu Eéuößtvxßˮkxzäàz wéu Eévpàwéuˮéxkéà wév éxzéàéà Qdßˮzéexékv.
Déu fävkèàwxzé Öuösäàzvdävvßˮävv éàkvßˮéxwék öeéu wéà Nàkudz; üxuw éxàé Eévßˮéxàxzäàz öeéu wxé Feéuàdˮﬂé wéu Eékuéääàz",[]
08d8bfca6282,6587cb34e4,de,"Gkäàwé Cxàäké

Gkäàwé Cxàäké

Eézxàà

Yàwé

05 Xäﬂ Sàsdyyféxkâäàtk eévßˮèskxzk/kèkxz dyv

01 Géxk üdàà eéx wxévéu Aèkxztéxk?

Cpàdk

Zdˮu

09 Ià üéyßˮéﬂ Aéxy wév Sàkéuàéˮﬂéàv xvk wéu Üéuvxßˮéuké vkèàwxz kèkxz?

02 Wdk wéu Üéuvxßˮéuké wxé Nueéxk éxàzévkéyyk?

àéxà

vpspuk

vâèkéu, dﬂ

Adz

Cpàdk

Gkäàwé

06 Wdk wéu Üéuvxßˮéuké","[{""start"":179,""end"":182,""replacement"":""wéu/wxé""},{""start"":218,""end"":221,""replacement"":""wéu/wxé""},{""start"":312,""end"":327,""replacement"":""wéu/wxéÜéuvxßˮéuké""}]"
090d194eaccc,6587cb34e4,de,"(Nuk, Wéuvkéyyéu, Alâ, Edäadˮu).
Nàfäzéeéà vxàw wxé Sﬂvkèàwé, wxé wéà Üéuydäs wév Sàsdyyv téààféxßˮàéà (äàsdyydävyávéàwé Sﬂvkèàwé, üéyßˮé Nueéxkvﬂxkkéy üäuwéà eéàäkfk efü. dà üéyßˮéà Cdvßˮxàéà äàw Nàydzéà üäuwé zédueéxkék). 
X. E.:
... eéäzké vxßˮ fä üéxk fäu Géxké däv, wdwäußˮ uäkvßˮké wxé Péxkéu üéz äàw wxé Öéuvpà vköufké 5","[{""start"":6,""end"":17,""replacement"":""Sàkéuàéˮﬂéà,""}]"
